Year,Team,Record,Wins,Losses,Win%
1992-93,MIN,19-63,19,63,0.232
1991-92,MIN,15-67,15,67,0.183
1990-91,MIN,29-53,29,53,0.354
1989-90,MIN,22-60,22,60,0.268
2017-18,NOL,48-34,48,34,0.585
2016-17,NOL,34-48,34,48,0.415
2015-16,NOL,30-52,30,52,0.366
2014-15,NOL,45-37,45,37,0.549
2013-14,NOL,34-48,34,48,0.415
2012-13,CHA,27-55,27,55,0.329
2011-12 *,CHA,21-45,21,45,0.318
2010-11,CHA,46-36,46,36,0.561
2009-10,CHA,37-45,37,45,0.451
2008-09,CHA,49-33,49,33,0.598
2007-08,CHA,56-26,56,26,0.683
2006-07,CHA,39-43,39,43,0.476
2005-06,CHA,38-44,38,44,0.463
2004-05,CHA,18-64,18,64,0.22
2003-04,CHA,41-41,41,41,0.5
2002-03,CHA,47-35,47,35,0.573
2017-18,NYK,29-53,29,53,0.354
2016-17,NYK,31-51,31,51,0.378
2015-16,NYK,32-50,32,50,0.39
