year,team,win_percent,wins,losses
1987-88,LAL,0.7559999999999999,62,20
1986-87,LAL,0.7929999999999999,65,17
1985-86,LAL,0.7559999999999999,62,20
1984-85,LAL,0.7559999999999999,62,20
1983-84,LAL,0.659,54,28
1982-83,LAL,0.7070000000000001,58,24
1981-82,LAL,0.695,57,25
1980-81,LAL,0.659,54,28
2017-18,MEM,0.268,22,60
2016-17,MEM,0.524,43,39
2015-16,MEM,0.512,42,40
2014-15,MEM,0.6709999999999999,55,27
2013-14,MEM,0.61,50,32
2012-13,MEM,0.6829999999999999,56,26
2011-12 ,MEM,0.621,41,25
2010-11,MEM,0.561,46,36
2009-10,MEM,0.488,40,42
2008-09,MEM,0.293,24,58
2007-08,MEM,0.268,22,60
2006-07,MEM,0.268,22,60
2005-06,MEM,0.598,49,33
2004-05,MEM,0.5489999999999999,45,37
2003-04,MEM,0.61,50,32
2002-03,MEM,0.341,28,54
2001-02,MEM,0.28,23,59
2000-01,MEM,0.28,23,59
1999-00,MEM,0.268,22,60
1998-99 ,MEM,0.16,8-,2
1997-98,MEM,0.23199999999999998,19,63
1996-97,MEM,0.171,14,68
1995-96,MEM,0.183,15,67
2017-18,MIA,0.537,44,38
2016-17,MIA,0.5,41,41
2015-16,MIA,0.585,48,34
2014-15,MIA,0.451,37,45
2013-14,MIA,0.659,54,28
2012-13,MIA,0.805,66,16
2011-12 ,MIA,0.6970000000000001,46,20
2010-11,MIA,0.7070000000000001,58,24
2009-10,MIA,0.573,47,35
2008-09,MIA,0.524,43,39
2007-08,MIA,0.183,15,67
2006-07,MIA,0.537,44,38
2005-06,MIA,0.634,52,30
2004-05,MIA,0.72,59,23
2003-04,MIA,0.512,42,40
2002-03,MIA,0.305,25,57
2001-02,MIA,0.439,36,46
2000-01,MIA,0.61,50,32
1999-00,MIA,0.634,52,30
1998-99 ,MIA,0.66,33,17
1997-98,MIA,0.6709999999999999,55,27
1996-97,MIA,0.7440000000000001,61,21
1995-96,MIA,0.512,42,40
1994-95,MIA,0.39,32,50
1993-94,MIA,0.512,42,40
1992-93,MIA,0.439,36,46
1991-92,MIA,0.46299999999999997,38,44
1990-91,MIA,0.293,24,58
1989-90,MIA,0.22,18,64
1988-89,MIA,0.183,15,67
2017-18,MIL,0.537,44,38
2016-17,MIL,0.512,42,40
2015-16,MIL,0.402,33,49
2014-15,MIL,0.5,41,41
2013-14,MIL,0.183,15,67
2012-13,MIL,0.46299999999999997,38,44
2011-12 ,MIL,0.47,31,35
2010-11,MIL,0.42700000000000005,35,47
2009-10,MIL,0.561,46,36
2008-09,MIL,0.415,34,48
2007-08,MIL,0.317,26,56
2006-07,MIL,0.341,28,54
2005-06,MIL,0.488,40,42
2004-05,MIL,0.366,30,52
2003-04,MIL,0.5,41,41
2002-03,MIL,0.512,42,40
2001-02,MIL,0.5,41,41
2000-01,MIL,0.634,52,30
1999-00,MIL,0.512,42,40
1998-99 ,MIL,0.56,28,22
1997-98,MIL,0.439,36,46
1996-97,MIL,0.402,33,49
1995-96,MIL,0.305,25,57
1994-95,MIL,0.415,34,48
1993-94,MIL,0.244,20,62
1992-93,MIL,0.341,28,54
1991-92,MIL,0.37799999999999995,31,51
1990-91,MIL,0.585,48,34
1989-90,MIL,0.537,44,38
1988-89,MIL,0.598,49,33
1987-88,MIL,0.512,42,40
1986-87,MIL,0.61,50,32
1985-86,MIL,0.695,57,25
1984-85,MIL,0.72,59,23
1983-84,MIL,0.61,50,32
1982-83,MIL,0.622,51,31
1981-82,MIL,0.6709999999999999,55,27
1980-81,MIL,0.732,60,22
2017-18,MIN,0.573,47,35
2016-17,MIN,0.37799999999999995,31,51
2015-16,MIN,0.354,29,53
2014-15,MIN,0.195,16,66
2013-14,MIN,0.488,40,42
2012-13,MIN,0.37799999999999995,31,51
2011-12 ,MIN,0.39399999999999996,26,40
2010-11,MIN,0.207,17,65
2009-10,MIN,0.183,15,67
2008-09,MIN,0.293,24,58
2007-08,MIN,0.268,22,60
2006-07,MIN,0.39,32,50
2005-06,MIN,0.402,33,49
2004-05,MIN,0.537,44,38
2003-04,MIN,0.7070000000000001,58,24
2002-03,MIN,0.622,51,31
2001-02,MIN,0.61,50,32
2000-01,MIN,0.573,47,35
1999-00,MIN,0.61,50,32
1998-99 ,MIN,0.5,25,25
1997-98,MIN,0.5489999999999999,45,37
1996-97,MIN,0.488,40,42
1995-96,MIN,0.317,26,56
1994-95,MIN,0.256,21,61
1993-94,MIN,0.244,20,62
1992-93,MIN,0.23199999999999998,19,63
1991-92,MIN,0.183,15,67
1990-91,MIN,0.354,29,53
1989-90,MIN,0.268,22,60
2017-18,NOP,0.585,48,34
2016-17,NOP,0.415,34,48
2015-16,NOP,0.366,30,52
2014-15,NOP,0.5489999999999999,45,37
2013-14,NOP,0.415,34,48
2012-13,CHA,0.32899999999999996,27,55
2011-12 ,CHA,0.318,21,45
2010-11,CHA,0.561,46,36
2009-10,CHA,0.451,37,45
2008-09,CHA,0.598,49,33
2007-08,CHA,0.6829999999999999,56,26
2006-07,CHA,0.47600000000000003,39,43
2005-06,CHA,0.46299999999999997,38,44
2004-05,CHA,0.22,18,64
2003-04,CHA,0.5,41,41
2002-03,CHA,0.573,47,35
2017-18,NYK,0.354,29,53
2016-17,NYK,0.37799999999999995,31,51
2015-16,NYK,0.39,32,50
2014-15,NYK,0.207,17,65
2013-14,NYK,0.451,37,45
2012-13,NYK,0.659,54,28
2011-12 ,NYK,0.545,36,30
2010-11,NYK,0.512,42,40
2009-10,NYK,0.354,29,53
2008-09,NYK,0.39,32,50
2007-08,NYK,0.28,23,59
2006-07,NYK,0.402,33,49
2005-06,NYK,0.28,23,59
2004-05,NYK,0.402,33,49
2003-04,NYK,0.47600000000000003,39,43
2002-03,NYK,0.451,37,45
2001-02,NYK,0.366,30,52
2000-01,NYK,0.585,48,34
1999-00,NYK,0.61,50,32
1998-99 ,NYK,0.54,27,23
1997-98,NYK,0.524,43,39
1996-97,NYK,0.695,57,25
1995-96,NYK,0.573,47,35
1994-95,NYK,0.6709999999999999,55,27
1993-94,NYK,0.695,57,25
1992-93,NYK,0.732,60,22
1991-92,NYK,0.622,51,31
1990-91,NYK,0.47600000000000003,39,43
1989-90,NYK,0.5489999999999999,45,37
1988-89,NYK,0.634,52,30
1987-88,NYK,0.46299999999999997,38,44
1986-87,NYK,0.293,24,58
1985-86,NYK,0.28,23,59
1984-85,NYK,0.293,24,58
1983-84,NYK,0.573,47,35
1982-83,NYK,0.537,44,38
1981-82,NYK,0.402,33,49
1980-81,NYK,0.61,50,32
2017-18,OKC,0.585,48,34
2016-17,OKC,0.573,47,35
2015-16,OKC,0.6709999999999999,55,27
2014-15,OKC,0.5489999999999999,45,37
2013-14,OKC,0.72,59,23
2012-13,OKC,0.732,60,22
2011-12 ,OKC,0.7120000000000001,47,19
2010-11,OKC,0.6709999999999999,55,27
2009-10,OKC,0.61,50,32
2008-09,OKC,0.28,23,59
2007-08,SEAs,0.244,20,62
